ID,Reported_Date,Reported_Hour,Reported_Year,Occurred_Date,Occurred_Hour,Occurred_Year,Time_of_Day,Weekday,Day_of_Week,Neighbourhood,Sector,Division,Ward,Councillor,Census_Tract,Level_of_Injury,x,y,Occurred_Month
1,2018-01-03 05:00:00,200,2018,2018-01-03 05:00:00,2200,2018,Evening,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050008.0,UNKNOWN,-75.62187394,45.38819669,January
2,2018-01-05 05:00:00,1900,2018,2018-01-05 05:00:00,1900,2018,Evening,Friday,5,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.0,UNKNOWN,-75.6472232,45.42617879,January
3,2018-01-05 05:00:00,100,2018,2018-01-04 05:00:00,2300,2018,Evening,Thursday,4,West Centertown,22,Central,Ward 14 - Somerset,Ariel Troster,5050042.0,MAJOR,-75.71054844,45.40662898,January
4,2018-01-09 05:00:00,200,2018,2018-01-09 05:00:00,2000,2018,Evening,Tuesday,2,Hunt Club East - Western Community,35,East,Ward 16 - River,Riley Brockington,5050002.05,FATAL,-75.67484888,45.34914483,January
5,2018-01-10 05:00:00,1900,2018,2018-01-10 05:00:00,1900,2018,Evening,Wednesday,3,Rockcliffe - Manor Park,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050059.0,UNKNOWN,-75.65236245,45.45080921,January
6,2018-01-13 05:00:00,200,2018,2018-01-13 05:00:00,2100,2018,Evening,Saturday,6,Bells Corners West,15,West,Ward 8 - College,Laine Johnson,5050136.02,NONE,-75.84050209,45.3160646,January
7,2018-01-16 05:00:00,1600,2018,2018-01-16 05:00:00,1600,2018,Afternoon,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.1,MAJOR,-75.6543659,45.37400247,January
8,2018-01-18 05:00:00,600,2018,2018-01-18 05:00:00,500,2018,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050037.02,FATAL,-75.68539962,45.41518108,January
9,2018-01-18 05:00:00,200,2018,2018-01-18 05:00:00,2300,2018,Evening,Thursday,4,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050046.0,UNKNOWN,-75.73076328,45.40907958,January
10,2018-01-19 05:00:00,200,2018,2018-01-19 05:00:00,2000,2018,Evening,Friday,5,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.07,NONE,-75.61237275,45.31136454,January
